Wall time,Step,Value
1615248583.4233575,5000,0.13048632442951202
1615248782.0489793,10000,0.11727941036224365
1615248979.8709679,15000,0.1121111586689949
1615249178.03559,20000,0.11001535505056381
1615249613.6674123,25000,0.1076098307967186
1615249812.043174,30000,0.10947613418102264
1615250009.5187256,35000,0.10974104702472687
1615250206.7421033,40000,0.10632182657718658
1615250404.5595293,45000,0.10590176284313202
1615250603.2613358,50000,0.1055125892162323
1615250805.984026,55000,0.10681711137294769
1615251004.0040655,60000,0.10564851760864258
1615251204.0949786,65000,0.10480140149593353
1615251403.4892213,70000,0.10545435547828674
1615251601.5510404,75000,0.10488569736480713
1615251799.415782,80000,0.10573584586381912
1615251998.39864,85000,0.10312271863222122
1615252196.2185376,90000,0.10325256735086441
1615252394.584747,95000,0.10269097238779068
1615252592.8943477,100000,0.10272162407636642
